dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,157,157,L1-full,347,0-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,348,2-8,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,349,6-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,350,6-12-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,351,2-8-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,352,7-13-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,353,0-4-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,354,4-7-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,355,8-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,356,6-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,357,5-6-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,358,6-8-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,359,1-13-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,360,0-8-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,361,2-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,362,2-4-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,363,0-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,364,6-11-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,365,2-4-9,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,366,0-3-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,367,4-6-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,368,0-5-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,369,3-6-15,3,
